Soil_ID,Name,Site,Type,Date,Gs,Metatype,g1,g2,rmse,d85,cu
1,Bassin Versant,Université de Sherbrooke,CG14,20/06/2019,2.738,MG112,0.29265456489724223,0.8892665519846034,0.01585526498755782,8.181239434235502,0.08783628723053277
2,Campagne Magog,"345,chemin Fitch Bay,Magog,QC J1X 0Z5",CG14,16/05/2019,2.772,MG112,0.44255345690404335,0.8153739801017447,0.006191989689136187,5.96022609614711,0.07046043567822192
3,Rue St. Gabriel,"Rue St. Gabriel, Mascouche",CG14,19/09/2019,2.711,MG112,81.24266700711004,2.7512510455576797,0.0024750599989457637,0.25522793898139445,0.4555872279613556
4,Bassin Versant,Université de Sherbrooke,MG20,17/06/2019,2.865,MG20,0.10301601593268606,0.9544003348936819,0.045477933882535924,21.165997057343542,0.10369641694913276
5,Magog,Magog,MG20,26/07/2019,2.723,MG20,0.10254638682000428,0.9796608119554246,0.03455667523463759,19.65544255658004,0.10993657551294937
6,Rue Jeannine,Drumondville,MG20,17/06/2019,2.817,MG20,0.11454978803408346,1.0392902879256147,0.025164077625657304,14.894039795768874,0.12478341048839738
7,Rue Louise,Sherbrooke,MG20,10/07/2019,2.707,MG20,0.05056932107622534,1.173361399849917,0.034614902496267405,21.959486346253293,0.1582822283780054
8,Rue Triest,Sherbrooke,MG20,24/06/2019,2.826,MG20,0.21370529736526211,0.724208261479579,0.025230768099333705,20.38926995816244,0.05045693796568665
9,Voie 3_UdeS,Université de Sherbrooke,MG20,20/06/2019,2.827,MG20,0.17154138222966542,0.8103372779930381,0.031490183066638575,19.4094919055291,0.06930820578937916
10,Campagne Magog,"345,chemin Fitch Bay,Magog,QC J1X 0Z5",MG112,16/05/2019,2.758,MG112,0.5254169379355222,0.5033051087659968,0.027680633299371978,12.81912185263737,0.013602737692163917
11,Rue Toutant,Drumondville,MG112,31/05/2019,2.691,MG112,1.322132237705099,1.0900676508591258,0.019299625870523553,1.3927159294906537,0.1374863344201296
15,École primaire à Beauce,Beauce,MG20,20/07/2020,2.781,MG20,0.1677292713310857,0.9991726348683828,0.025826136355944055,11.333349401816008,0.11478014267698154
16,Rue Fortier Sud,Sherbrooke,MG20,16/06/2020,2.83,MG20,0.1285797687480937,0.9056963841892327,0.02863412790470562,19.526912094099853,0.09179865271448823
17,Cabane à sucre Beauce,Beauce,MG112,21/07/2020,2.7,MG112,0.217973432660853,0.6591259483796359,0.020829417190080343,26.647878142301714,0.03757049120934328
18,Planche de référence,Beauce (St Prosper),Sable,24/07/2020,2.709,MG112,14.38562579797897,1.379272475389283,0.005325429899931056,0.23019869922667746,0.20842443455369286
20,Rue Aberdeen,Sherbrooke,MG20,04/06/2020,2.83,MG20,0.1285797687480937,0.9056963841892327,0.02863412790470562,19.526912094099853,0.09179865271448823
21,Planche de référence,Beauce (St Prosper),MG20,24/07/2020,2.781,MG20,0.10772067315633517,0.9971155390130219,0.034728714416072316,17.758226245066314,0.11426868289002749
22,École primaire à Beauce,Beauce,MG112,20/07/2020,2.784,MG112,0.09161567447095578,0.8209600268793383,0.026827259885949563,40.100851254031355,0.07174377650490192
23,Rue Boulogne,Sherbrooke,MG20,21/06/2021,2.836,MG20,0.04176270002424597,1.295890926664324,0.03827908530582173,19.006112919187824,0.18842031407039359
24,Planche St-Nicéphore,Drumondville,MG20,03/09/2021,2.82,MG20,0.04524353072424565,1.3669072518968215,0.027553128414731055,15.382049125682332,0.20548860854026255
25,Rue Darche,Sherbrooke,MG20,10/06/2021,2.846,MG20,0.05918552157226754,1.243501303612654,0.029936964278905333,16.255464717597906,0.1756258026436152
26,Rue-Wallace,Sherbrooke,MG20,07/07/2021,2.781,MG20,0.17144290469971796,0.8961665735527686,0.01788483706751027,14.619563794639795,0.0894967237542527
27,Autoroute 10,Granby,MG20,30/09/2021,2.745,MG20,0.15169787179796712,0.9194553424103987,0.017299409352594143,15.603536934772977,0.09513858383555993
28,Autoroute 10,Granby,MG112,04/10/2021,2.763,MG112,0.12866618040134542,0.6776039464136208,0.040785513129161094,53.04581158201363,0.04108755030473816
29,Rue Darche,Sherbrooke,MG112,10/06/2021,2.788,MG112,0.00209614935257592,1.6292036972991097,0.024787661372869224,65.28240368955788,0.2651103400428081
30,Rue Bérubé,Victoriaville,Sable,25/02/2021,2.707,MG112,1.3143417140887688,0.8843885074463107,0.016444526430749513,1.5143360928711675,0.08666576311368752
31,Rue Chalmers,Sherbrooke,CG14,24/05/2022,2.707,MG112,0.34415441372446787,0.8635385277695324,0.010118142534350661,7.219258993347293,0.08169624383475707
32,Rue Watkins,Drumondville,MG112,17/10/2022,2.677,MG112,19.83003809130034,2.1858529986833313,0.005438523123978668,0.34175571446797465,0.3717550062449112
33,Rue Attateken,Montréal,MG20,28/06/2022,2.76,MG20,0.05632438965883727,1.1657502316397967,0.024668892325741647,20.428089476703306,0.15638866010211439
34,Planche de référence,La Tuque,MG112,24/10/2022,2.729,MG112,0.6851880228393512,0.4164889643300729,0.07691791632588169,11.53285914231646,0.005553734612196871
35,Planche de référence,La Tuque,MR-5,24/10/2022,2.668,MG112,0.3319135149593619,0.5020704622261133,0.04032794812672343,32.20294892082418,0.013459741064220532
